data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date,public_urls,translated_product,tinder_bio,probability
10914240,9.0,,Grønt,Rosenkål,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_7_3269x695_4873x2984_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421822/2026-01-10/10914240.jpg,Brussels sprouts,"Savoring the crunch of a perfect Brussels sprout, ready to burst with flavor and flavorfulness! 🍃",0.9977436
10914189,65.0,Velsmag,Fersk fisk,Laksefilet,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_5_2732x4841_4998x6818_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421969/2026-01-10/10914189.jpg,Salmon filet,"✨ Savor the ocean in every bite, and let your taste buds dance with the rhythm of the waves. 🐟",0.9955782
10914192,65.0,Velsmag,Fersk fisk,Ørred,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_5_2732x4841_4998x6818_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421970/2026-01-10/10914192.jpg,Trout,"Fishy and fabulous, I'm the ocean's favorite snack—fresh, crispy, and ready to conquer your taste buds! 🐟",0.9955782
10914244,12.0,,Grønt,Romainesalat,1,2,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_7_30x2835_1735x4731_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421779/2026-01-10/10914244.jpg,Romaine salad,"Crisp, refreshing, and always in season — the ultimate salad queen! 🥗",0.99462837
10914139,25.0,Dansk Landkylling,Kylling,Hakket kylling 3-7%,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_2_53x4678_2353x6835_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421887/2026-01-10/10914139.jpg,Chicked chicken 3-7%,✨ Chicked chicken 3-7% – the perfect blend of flavor and flexibility for any meal! 🥩,0.9927912
10914200,25.0,Dansk Landkylling,Kylling,Hakket kylling 3-7%,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_6_34x2836_2499x4999_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421888/2026-01-10/10914200.jpg,Chicked chicken 3-7%,✨ Chicked chicken 3-7% – the perfect blend of flavor and flexibility! 🥩,0.9927912
10914238,10.0,ØGO,Grønt,Jordskokker,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_7_1616x660_3269x2918_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421818/2026-01-10/10914238.jpg,Jerusalem artichokes,"Rooted in the soil of ancient lands, I’m a tuber that brings earthy flavor and a touch of rebellion to any dish. 🌱",0.9880383
10914239,10.0,ØGO,Grønt,Pastinakker,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_7_1616x660_3269x2918_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421815/2026-01-10/10914239.jpg,Parsnips,"Crisp and sweet, with a twist of earthy charm—like a root that knows how to laugh. 🍄",0.9880383
10914267,65.0,Premieur,Røget og gravad,Laks,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_12_3327x4823_4924x6900_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421975/2026-01-10/10914267.jpg,Salmon,"✨ Flaky, fresh, and full of flavor—salmon is the ultimate seafood superstar! 🐟",0.987117
10914410,12.0,ØGO,Grønt,Røde Splitlinser,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_16_190x4600_4891x6785_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421848/2026-01-10/10914410.jpg,Red Split Lenses,"✨ One-lens wonder, ready to flip the script on your day! ✨",0.98448294
10914408,12.0,ØGO,Grønt,Kikærter,1,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_16_190x4600_4891x6785_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421847/2026-01-10/10914408.jpg,Chickpeas,"Spicy, nutty, and ready to add some flavor to your life ☕🌱",0.98448294
10914242,15.0,,Grønt,Cocktailtomater,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_7_3298x2978_4986x4672_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421849/2026-01-10/10914242.jpg,Cocktail tomatoes,"Sip, savor, and spin—my flavor is a cocktail of joy! 🍹",0.9811621
10914243,15.0,,Grønt,Peberfrugt,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_7_1658x2930_3483x4690_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421848/2026-01-10/10914243.jpg,Pepper,"🔥 Pepper, the spice that turns平凡 into extraordinary! 🌶️",0.9811621
10914236,10.0,,Grønt,Kartofler,1,1,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_7_0x660_1688x2835_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421788/2026-01-10/10914236.jpg,Potatoes,"I'm the humble potato, ready to sprout into a giant, delicious surprise! 🌱💥",0.974242
10914235,10.0,,Grønt,Kartofler,1,1,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_7_0x707_1611x2859_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421788/2026-01-10/10914235.jpg,Potatoes,"I'm the humble potato, ready to sprout into a giant, tasty surprise! 🌱💥",0.974242
10914183,59.0,Rose,Kylling,Kylling,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_5_2780x27_4977x2932_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421860/2026-01-10/10914183.jpg,Chicken,"Sizzling with flavor, ready to conquer any plate! 🍗",0.97301877
10914285,9.97,Mutti,Grønt,Pelati Flåede Tomater,1,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_18_2342x3780_4945x6865_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421827/2026-01-10/10914285.jpg,Pelati Peeled Tomatoes,Pelati Peeled Tomatoes: The ultimate snack that makes every bite a flavor explosion! 🍅,0.9709798
10914279,9.97,Mutti,Grønt,Hakkede tomater,1,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_18_2342x3780_4945x6865_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421827/2026-01-10/10914279.jpg,Chicked tomatoes,Chicked tomatoes: the flavor that turns any meal into a masterpiece 🍅✨,0.9709798
10914160,10.0,Næmt,Grønt,Salat,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_3_3625x5294_4936x6825_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421918/2026-01-10/10914160.jpg,Lettuce,"Leafy, fresh, and always ready to be paired with the perfect meal 🌱",0.9709798
10914215,22.0,GodMorgen,Juice,"Æblejuice, Rabarber & Jordbær",1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_11_2400x4384_4882x6892_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421842/2026-01-10/10914215.jpg,"Apple Juice, Rhubarb & Strawberry","Sip on flavor, blend of sweet and tart—nature's perfect mix! 🍎🍓🌿",0.96708035
10914151,20.0,,Kylling,Kyllingestrimler,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_3_2506x1531_3749x3097_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421917/2026-01-10/10914151.jpg,Chicken straws,"Searched for the perfect crunch? I'm the star of the kitchen aisle—chicken straws, ready to spark a delicious debate. 🍗",0.9650527
10914115,15.0,,Frugt,Vindruer,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_1_2508x1450_4998x3923_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421849/2026-01-10/10914115.jpg,Grapes,"Juicy and vibrant, I'm the grape that brings a smile to your lips—perfect for a refreshing snack or a bold twist on a salad. 🍇",0.9645911
10914249,25.0,Premieur,"Pålæg, skiveskåret",Carpaccio,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_12_2375x2862_4973x4840_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421970/2026-01-10/10914249.jpg,Carpaccio,"Served fresh, sharp, and unforgettable — like a knife to the heart. 🍽️",0.9584216
10914252,25.0,Premieur,"Pålæg, skiveskåret",Jamon Serrano,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_12_2375x2862_4973x4840_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421972/2026-01-10/10914252.jpg,Jamon Serrano,"Serrano jamón, experto en sabores y picantes, siempre en busca de la perfección. 🍖",0.9584216
10914253,25.0,Premieur,"Pålæg, skiveskåret",Bresaola,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_12_2375x2862_4973x4840_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421977/2026-01-10/10914253.jpg,Bresaola,"Savory, smoky, and slightly tangy — the perfect companion to any meal. 🍴",0.9584216
10914251,25.0,Premieur,"Pålæg, skiveskåret",Prosciutto Di Parma,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_12_2375x2862_4973x4840_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421977/2026-01-10/10914251.jpg,Prosciutto Di Parma,"Savory, smoky, and slightly smug — the perfect companion to any meal. 🍴",0.9584216
10914232,25.0,Velsmag,Grisekød,Skinkeschnitzler,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_6_2499x2884_4909x4971_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421903/2026-01-10/10914232.jpg,Hams and hams,"Savoring the sweet, smoky taste of life, 🍖",0.95057136
10914208,25.0,Velsmag,Grisekød,Grisekoteletter,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_6_2499x2884_4909x4971_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421911/2026-01-10/10914208.jpg,Pig chops,"Sizzling with flavor, I'm the perfect partner for a spicy night out! 🍳🔥",0.95057136
10914193,99.0,Velsmag,Grisekød,Grisemørbrad,1,1,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_5_41x1243_2732x4875_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421899/2026-01-10/10914193.jpg,Pig tenderloin,"Savory, tender, and perfectly cooked – the ultimate flavor bomb. 🍖",0.9462654
10904488,55.0,,Kylling,Kyllingebryst,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/2/64322/Netto022026-1_10_2837x3091_4932x4824_zoom.jpg,2026-01-02,2026-01-31,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421912/2026-01-10/10904488.jpg,Chicken breast,"Sizzling with flavor, I'm the chicken breast that never forgets to cook up a storm! 🍗",0.9461482
10914152,12.0,Harvest Best,Grøntsager,Wok Mix,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_3_3762x1579_4916x3097_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421824/2026-01-10/10914152.jpg,Wok Mix,🔥 Spice up your meal with Wok Mix! 🍳✨,0.94193155
10914159,20.0,Velsmag,Grisekød,Hakket grisekød,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/3/64366/Netto032026-1_3_2430x5404_3707x6853_zoom.jpg,2026-01-10,2026-01-16,https://res.cloudinary.com/dfqzmnlga/image/upload/v1768421877/2026-01-10/10914159.jpg,Minced pig meat,"🔥 Spicy, smoky, and ready to ignite your taste buds—minced pig meat is the star of the kitchen! 🥢",0.9367258
