data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date,translated_product,tinder_bio
10764946,8.0,Hello Sensitive,Babypleje,Vådservietter,1,100,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_1554x3083_3220x4824_zoom.jpg,2025-10-18,2025-10-24,Wet napkins,"Sooze up, wipe down, and never let your life get messy again! 🧂"
10764948,10.0,Hello Sensitive,Babypleje,Skumklude,1,50,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_50x2608_1522x4868_zoom.jpg,2025-10-18,2025-10-24,Foam cloths,✨ Unfold the magic of cleaning with a touch of foam—perfect for both your space and your style! ✨
10764968,89.0,Fitness Pharma,Kosttilskud,Mineraler,1,250,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_3245x4780_4992x6858_zoom.jpg,2025-10-18,2025-10-24,Minerals,"✨ Elemental spark, always ready to glow!"
10764969,89.0,Fitness Pharma,Kosttilskud,Kosttilskud,1,200,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_3245x4780_4992x6858_zoom.jpg,2025-10-18,2025-10-24,Food supplements,Boost your energy with a sprinkle of vitality — because your body deserves more than just a meal. 🌟
10764967,89.0,Fitness Pharma,Fiskeolie,Fiskeolie,1,200,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_3245x4780_4992x6858_zoom.jpg,2025-10-18,2025-10-24,Fish oil,"Omega-3 powerhouse, turning every bite into a superpower — 🐟✨"
10764950,20.0,Newborn,Bleer,Bleer str 1 2-4 kg,1,28,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_0x4899_1529x6808_zoom.jpg,2025-10-18,2025-10-24,Diapers size 1 2-4 kg,"✨ Size up your day with me, the reliable hero of baby needs!"
10764956,30.0,Mini,Bleer,Bleer str 2 3-6 kg,1,38,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_1535x4855_3207x6864_zoom.jpg,2025-10-18,2025-10-24,Diapers size 2 3-6 kg,"Size 2 3-6 kg: The ultimate protector of little ones, ready to keep them safe and sound. 🛒"
10764963,50.0,Midi,Bleer,Bleer str 3 4-9 kg,1,56,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_3251x4855_4948x6840_zoom.jpg,2025-10-18,2025-10-24,Diapers size 3 4-9 kg,"Size 3 4-9 kg: The ultimate protector of little ones, always ready for the unexpected. 🛒"
10764964,50.0,Maxi,Bleer,Bleer str 4 7-18 kg,1,50,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_3251x4855_4948x6840_zoom.jpg,2025-10-18,2025-10-24,Diapers size 4 7-18 kg,"✨ Size 4, 7-18 kg: The ultimate diaper superhero 🌟"
10764979,29.0,Libresse,Intimhygiejne,Bind,1,26,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_1585x2846_3295x4855_zoom.jpg,2025-10-18,2025-10-24,Volume,Volume: The quiet force that makes everything feel bigger. 🌟
10764980,29.0,Libresse,Intimhygiejne,Trusseindlæg,1,26,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_1585x2846_3295x4855_zoom.jpg,2025-10-18,2025-10-24,Panty posts,"✨ Curves that curve, vibes that vibe — I'm the ultimate confidence booster! 🌟"
10764965,50.0,Junior,Bleer,Bleer str 5 11-25 kg,1,44,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_3251x4855_4948x6840_zoom.jpg,2025-10-18,2025-10-24,Diapers size 5 11-25 kg,"✨ Super flexible momma, ready to tackle any baby mess! 🌟"
10764966,50.0,XL,Bleer,Bleer str 6 15-30 kg,1,40,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_3251x4855_4948x6840_zoom.jpg,2025-10-18,2025-10-24,Diapers size 6 15-30 kg,✨ Size up for the ultimate comfort squad! 🌟
10764835,12.0,Sun Lolly,Frys selv,Is frys selv - Cola,1,8,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_23_12x4843_1660x6858_zoom.jpg,2025-10-18,2025-10-24,Ice freeze itself - Cola,"❄️ Freeze your thoughts with a cola—ice doesn't freeze itself, but this one does. 🍹"
10764836,12.0,Sun Lolly,Frys selv,Is frys selv - Vindrue,1,8,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_23_12x4843_1660x6858_zoom.jpg,2025-10-18,2025-10-24,Ice freeze itself - Grape,❄️ I freeze myself to keep the grapes fresh—nature's perfect blend of cold and sweet.
10764954,30.0,Junior,Bleer,Bleer str 5 Pants 12-17 kg,1,20,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_1535x4855_3207x6864_zoom.jpg,2025-10-18,2025-10-24,Diapers size 5 Pants 12-17 kg,"Size 5 diapers, 12-17 kg pants — the ultimate comfort warrior. 🛋️"
10764955,30.0,XL,Bleer,Bleer str 6 Pants 15+ kg,1,18,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_1535x4855_3207x6864_zoom.jpg,2025-10-18,2025-10-24,Diapers size 6 Pants 15+ kg,"🐾 Size 6 Diapers, 15+ kg Pants – ready for the wild!"
10764958,30.0,XXL Pants,Bleer,Bleer str 7 17+ kg,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_1535x4855_3207x6864_zoom.jpg,2025-10-18,2025-10-24,Diapers size 7 17+ kg,"Size 7 17+ kg: The ultimate protector of little ones, ready for any adventure 🛒"
10764477,20.0,ØGO,Skalæg,Økologiske æg M/L,1,10,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_2_2327x243_4954x2334_zoom.jpg,2025-10-18,2025-10-24,Organic eggs M/L,"✨ Eco-friendly omelets, ready to elevate any meal!"
10764978,49.0,,Husholdningspapir,Toiletpapir,1,24,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_25x4924_1641x6852_zoom.jpg,2025-10-18,2025-10-24,Toilet paper,"Soft, reliable, and always ready to wipe away the day's messes 🧾"
10764816,39.0,Americano,Kapselkaffe,Kaffekapsler,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_50x4699_2490x6827_zoom.jpg,2025-10-18,2025-10-24,Coffee capsules," ☕️ Sip, savor, and stay awake—because life's too short for boring coffee."
10764824,39.0,Flat White,Kapselkaffe,Kaffekapsler,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_50x4699_2490x6827_zoom.jpg,2025-10-18,2025-10-24,Coffee capsules,"☕️ Sip, sip, and stay fueled—because the best drinks are the ones that keep you going."
10764820,39.0,Latte Macchiato Caramel,Kapselkaffe,Kaffekapsler,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_50x4699_2490x6827_zoom.jpg,2025-10-18,2025-10-24,Coffee capsules,"☕️ Sip, skip, and switch—because life's too short for boring coffee."
10764822,39.0,Cafe Au Lait,Kapselkaffe,Kaffekapsler,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_50x4699_2490x6827_zoom.jpg,2025-10-18,2025-10-24,Coffee capsules, ☕️ Brew your own coffee with a twist—every capsule is a story waiting to be brewed.
10764785,25.0,Espresso Supremo,Kapselkaffe,Kaffekapsler,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_75x69_3313x2527_zoom.jpg,2025-10-18,2025-10-24,Coffee capsules,"☕️ Unwrap the world with every cup—sip, savor, and stay awake."
10764791,25.0,Espresso Ristretto Intensiv,Kapselkaffe,Kaffekapsler,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_75x69_3313x2527_zoom.jpg,2025-10-18,2025-10-24,Coffee capsules, ☕️ Brew your day with a twist—every capsule is a new adventure.
