data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,start_date,end_date,public_urls,translated_product,tinder_bio
10820866,5.0,Hello Sensitive,Renseprodukter,Renseservietter,1,25,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205653/2025-11-15/10820866.jpg,Cleaning napkins,"✨ Clean up, refresh, and reset with me! 🧼"
10821142,99.0,Husk,Kosttilskud,Kosttilskud,1,225,bg.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205654/2025-11-15/10821142.jpg,Food supplements,Boost your energy with a sprinkle of vitality — 🌟✨
10821139,99.0,Longo Vital,Vitaminer,Vitaminer,1,180,bg.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205654/2025-11-15/10821139.jpg,Vitamins,Vitamins: Boost your energy and keep your vibe high! 🌟
10821152,20.0,,Stearinlys,Juletræslys,1,20,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205654/2025-11-15/10821152.jpg,Christmas tree lights,✨ Sparkle and shimmer with the magic of Christmas! 🎄
10821228,20.0,,Bånd/papir,Gavemærker,1,20,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205655/2025-11-15/10821228.jpg,Gift Marks,"✨✨✨ Gift Marks: The little glittering clues that say, ""I'm special and I'm here to shine!"" ✨✨✨"
10820850,49.0,Comfort,Bleer,Bleer str 5 9-14 kg,1,34,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205655/2025-11-15/10820850.jpg,Diapers size 5 9-14 kg,"✨ Size 5, ready for any adventure! 🛍️"
10820849,49.0,Comfort,Bleer,Bleer str 6 13-20 kg,1,32,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205656/2025-11-15/10820849.jpg,Diapers size 6 13-20 kg,"✨ Size 6, 13-20 kg: The ultimate protector of little ones! 🛒"
10820851,49.0,Up&Go,Bleer,Bleer str 6 13-20 kg,1,27,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205656/2025-11-15/10820851.jpg,Diapers size 6 13-20 kg,"✨ Super flexible parent, ready to tackle any baby size challenge! 🛠️"
10820848,49.0,Comfort,Bleer,Bleer str 4 7-11 kg,1,26,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205656/2025-11-15/10820848.jpg,Diapers size 4 7-11 kg,"✨ Super flexible parent, ready to tackle any baby mess! 🛠️"
10821196,10.0,,Bånd/papir,Gavepapir,1,5,stk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205657/2025-11-15/10821196.jpg,Gift paper,Wrap presents with a touch of magic — because even the simplest gift feels special when wrapped in paper. 🎁
10821216,99.0,,Skriveartikler,Tusser,1,48,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205658/2025-11-15/10821216.jpg,Tusses,Tusses are the ultimate snack that turns any meal into a party — perfect for when you want to eat without saying a word. 🍽️
10820844,20.0,Comfort,Husholdningspapir,Toiletpapir,1,8,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205658/2025-11-15/10820844.jpg,Toilet paper,"✨ Always ready to wipe away the mess, whether it's life or laundry! ✨"
10820894,20.0,DAVA Foods,Skalæg,Frilandsæg M/L,1,8,bk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205659/2025-11-15/10820894.jpg,Open-air eggs M/L,"Sunrise-ready omelets, perfect for a sunny day – 🌞🍳"
10821150,50.0,,Jul,Julekugler,1,16,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205659/2025-11-15/10821150.jpg,Christmas balls,✨ Sparkle and swirl with the magic of Christmas! ✨
10821208,40.0,Nord Home LIving,Stearinlys,Kronelys,1,8,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205659/2025-11-15/10821208.jpg,Crown candles,"✨ Glow up your space with a little magic — every candle is a story, and I'm the storyteller. ✨"
10821140,12.0,,Køkkenredskaber,Grydeske,1,2,pk.,Netto,2025-11-15,2025-11-21,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763205660/2025-11-15/10821140.jpg,"Stem vegetables, fresh or chilled, whether or not shelled or peeled, whether or not planed, sanded or end-jointed, whether or not planed, sanded or end-jointed","Savor the crunch of every stem, fresh or chilled—whether shelled, peeled, or planed. 🌱"
