data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date,public_urls,translated_product,tinder_bio
11216216,12.0,,Grønt,Blomkål,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_4_45x3837_2360x5937_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348049/2026-07-18/11216216.jpg,Chinese cabbages/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai,"Pe-tsai lover 🥬, ready to burst with flavor and joy!"
11216191,20.0,,Grønt,Bagekartofler,1,1,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_3_1252x5403_2475x6847_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348050/2026-07-18/11216191.jpg,Bakery potatoes,"✨ Baked to perfection, crispy and creamy, my potatoes are the star of any meal! 🍽️"
11216204,20.0,Salling Princip,Frugt,Ananas,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_4_0x989_2445x3820_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348051/2026-07-18/11216204.jpg,Pineapples,"Slice of paradise, ready to burst with flavor and joy 🍍"
11216211,18.0,,Grønt,Cocktailtomater,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_4_2287x4494_4998x6028_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348051/2026-07-18/11216211.jpg,Cocktail tomatoes,"Sip, savor, and surprise—my flavor is a cocktail of joy! 🍹"
11216209,20.0,,Frugt,Vindruer,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_4_2462x774_4840x2739_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348052/2026-07-18/11216209.jpg,Grapes,"Juicy and vibrant, I'm the grape that brings a smile to your lips—fresh, bold, and always ready to burst. 🍇"
11216210,25.0,,Frugt,Jordbær,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_4_2366x2654_4998x4443_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348052/2026-07-18/11216210.jpg,Strawberries,"Sweet, juicy, and never shy — I'm the perfect snack for any mood. 🍓"
11216269,20.0,ØGO,Frugt,Blåbær,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_9_2825x5139_4851x6271_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348053/2026-07-18/11216269.jpg,Blueberries,Sip on the sweetness of the day with a dash of adventure 🍓✨
11216368,19.95,Egelykke,Bacon,Baconskiver,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_13_1676x2898_3256x4854_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348054/2026-07-18/11216368.jpg,Bacon washers,"Sweat and grease in one sleek, smoky package 🍴✨"
11216218,49.0,Velsmag,Kylling,Kylling,1,1,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_5_2830x4805_4998x6832_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348054/2026-07-18/11216218.jpg,Chicken,"Sizzling with flavor, I'm the chicken that never sits still — ready to ignite your taste buds! 🍗"
11216250,29.95,Velsmag,Kylling,Kyllingeoverlår,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_8_42x3763_3000x5242_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348055/2026-07-18/11216250.jpg,Chicken upper thighs,"Sizzling with flavor, ready to conquer any plate! 🍗"
11216231,25.0,Rose,Kylling,Hakket kylling 7-10%,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_6_2479x3078_4732x4833_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348056/2026-07-18/11216231.jpg,Chicked chicken 7-10%,✨ Chicked chicken 7-10% – the perfect blend of flavor and fun! 🥘
11216233,59.0,Danpo,Kylling,Kyllingebrystfilet,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2026/30/65864/Netto302026-1_6_2428x5003_4902x6883_zoom.jpg,2026-07-18,2026-07-24,https://res.cloudinary.com/dfqzmnlga/image/upload/v1784348056/2026-07-18/11216233.jpg,Chicken breast fillet,"Sizzling with flavor, ready to conquer your taste buds! 🍗"
